Aleatório,Estimado,Correto,Diferença,K
4.0,1.84277,3.0,-1.15723,328.0
2.0,0.25322,0.0,0.25322,329.0
5.0,0.60201,0.0,0.60201,330.0
3.0,0.30098,0.0,0.30098,331.0
4.0,1.11026,0.0,1.11026,332.0
4.0,1.46309,0.0,1.46309,333.0
3.0,2.95239,0.0,2.95239,334.0
4.0,2.37179,0.0,2.37179,335.0
1.0,1.00093,4.0,-2.99907,336.0
3.0,3.00883,0.0,3.00883,337.0
1.0,0.19471,0.0,0.19471,338.0
3.0,2.45753,0.0,2.45753,339.0
1.0,0.96905,0.0,0.96905,340.0
1.0,0.06207,0.0,0.06207,341.0
4.0,3.31197,0.0,3.31197,342.0
5.0,1.15319,0.0,1.15319,343.0
5.0,0.61164,0.0,0.61164,344.0
2.0,0.19617,0.0,0.19617,345.0
3.0,1.90702,0.0,1.90702,346.0
2.0,2.00664,0.0,2.00664,347.0
3.0,2.96026,0.0,2.96026,348.0
5.0,4.5062,0.0,4.5062,349.0
1.0,0.66827,0.0,0.66827,350.0
3.0,2.36352,0.0,2.36352,351.0
5.0,1.95628,0.0,1.95628,352.0
4.0,1.20269,0.0,1.20269,353.0
1.0,0.08701,0.0,0.08701,354.0
3.0,2.9815,0.0,2.9815,355.0
4.0,2.88845,0.0,2.88845,356.0
3.0,3.02273,0.0,3.02273,357.0
5.0,2.67637,0.0,2.67637,358.0
2.0,0.59452,0.0,0.59452,359.0
5.0,4.17853,0.0,4.17853,360.0
5.0,4.58886,0.0,4.58886,361.0
2.0,1.1733,0.0,1.1733,362.0
4.0,1.20582,0.0,1.20582,363.0
5.0,0.53861,0.0,0.53861,364.0
1.0,0.09729,0.0,0.09729,365.0
4.0,2.74561,0.0,2.74561,366.0
3.0,2.72692,0.0,2.72692,367.0
4.0,3.87701,0.0,3.87701,368.0
3.0,1.90309,0.0,1.90309,369.0
3.0,0.51543,0.0,0.51543,370.0
5.0,0.14344,0.0,0.14344,371.0
4.0,3.78659,0.0,3.78659,372.0
1.0,0.01283,0.0,0.01283,373.0
4.0,3.04481,0.0,3.04481,374.0
5.0,1.26462,0.0,1.26462,375.0
4.0,1.53467,0.0,1.53467,376.0
1.0,0.1396,0.0,0.1396,377.0
4.0,0.93182,0.0,0.93182,378.0
5.0,4.0899,0.0,4.0899,379.0
4.0,1.18219,0.0,1.18219,380.0
2.0,0.53878,0.0,0.53878,381.0
1.0,1.03223,0.0,1.03223,382.0
5.0,0.55419,0.0,0.55419,383.0
3.0,2.97301,0.0,2.97301,384.0
5.0,4.83775,0.0,4.83775,385.0
3.0,2.72431,0.0,2.72431,386.0
5.0,0.52691,0.0,0.52691,387.0
3.0,2.59556,0.0,2.59556,388.0
5.0,4.83762,0.0,4.83762,389.0
2.0,1.85112,0.0,1.85112,390.0
5.0,4.74561,0.0,4.74561,391.0
3.0,3.01007,5.0,-1.98993,392.0
4.0,3.80531,0.0,3.80531,393.0
2.0,1.91536,0.0,1.91536,394.0
3.0,0.49848,0.0,0.49848,395.0
3.0,2.84,0.0,2.84,396.0
3.0,0.48738,0.0,0.48738,397.0
4.0,1.8763,0.0,1.8763,398.0
4.0,1.43757,0.0,1.43757,399.0
1.0,0.83758,0.0,0.83758,400.0
3.0,3.07727,0.0,3.07727,401.0
1.0,1.00546,0.0,1.00546,402.0
2.0,0.32517,0.0,0.32517,403.0
1.0,0.10258,0.0,0.10258,404.0
4.0,3.79519,0.0,3.79519,405.0
5.0,4.99348,3.5,1.49348,406.0
3.0,2.89087,0.0,2.89087,407.0
1.0,0.15553,0.0,0.15553,408.0
1.0,0.10131,0.0,0.10131,409.0
2.0,1.96583,0.0,1.96583,410.0
5.0,4.95919,0.0,4.95919,411.0
1.0,0.94539,0.0,0.94539,412.0
2.0,1.92947,0.0,1.92947,413.0
2.0,1.87584,0.0,1.87584,414.0
5.0,4.72257,0.0,4.72257,415.0
4.0,3.9396,0.0,3.9396,416.0
4.0,2.10404,0.0,2.10404,417.0
5.0,2.32835,0.0,2.32835,418.0
5.0,5.03759,3.0,2.03759,419.0
4.0,4.22637,0.0,4.22637,420.0
3.0,3.0108,0.0,3.0108,421.0
2.0,1.72287,0.0,1.72287,422.0
5.0,4.96309,3.0,1.96309,423.0
4.0,3.96236,0.0,3.96236,424.0
1.0,0.87845,0.0,0.87845,425.0
5.0,4.96819,0.0,4.96819,426.0
4.0,1.78995,0.0,1.78995,427.0
5.0,3.03128,0.0,3.03128,428.0
1.0,0.80371,0.0,0.80371,429.0
5.0,4.72981,0.0,4.72981,430.0
2.0,2.04882,0.0,2.04882,431.0
5.0,1.43508,0.0,1.43508,432.0
4.0,2.12951,0.0,2.12951,433.0
4.0,3.89957,0.0,3.89957,434.0
1.0,0.98982,0.0,0.98982,435.0
1.0,0.89409,0.0,0.89409,436.0
4.0,1.66101,0.0,1.66101,437.0
1.0,0.95873,0.0,0.95873,438.0
1.0,1.01473,0.0,1.01473,439.0
4.0,3.00274,0.0,3.00274,440.0
1.0,0.99584,0.0,0.99584,441.0
1.0,1.01396,0.0,1.01396,442.0
5.0,4.94137,0.0,4.94137,443.0
3.0,0.35605,0.0,0.35605,444.0
5.0,4.7185,0.0,4.7185,445.0
3.0,2.88951,0.0,2.88951,446.0
4.0,0.72409,0.0,0.72409,447.0
1.0,0.99625,0.0,0.99625,448.0
2.0,1.9277,0.0,1.9277,449.0
3.0,2.87916,0.0,2.87916,450.0
1.0,0.54034,0.0,0.54034,451.0
5.0,4.9462,0.0,4.9462,452.0
5.0,1.2274,0.0,1.2274,453.0
5.0,4.69959,0.0,4.69959,454.0
4.0,3.73752,0.0,3.73752,455.0
3.0,0.6866,0.0,0.6866,456.0
4.0,3.92307,0.0,3.92307,457.0
5.0,0.80465,0.0,0.80465,458.0
5.0,2.74518,0.0,2.74518,459.0
2.0,1.9879,0.0,1.9879,460.0
5.0,4.97666,0.0,4.97666,461.0
5.0,4.96546,0.0,4.96546,462.0
2.0,1.80894,0.0,1.80894,463.0
5.0,4.81523,0.0,4.81523,464.0
3.0,2.79679,0.0,2.79679,465.0
1.0,0.89431,0.0,0.89431,466.0
4.0,1.22103,0.0,1.22103,467.0
5.0,4.96962,0.0,4.96962,468.0
5.0,1.05155,0.0,1.05155,469.0
4.0,0.71578,0.0,0.71578,470.0
5.0,4.95864,0.0,4.95864,471.0
3.0,3.05605,0.0,3.05605,472.0
2.0,1.23855,0.0,1.23855,473.0
2.0,0.23967,0.0,0.23967,474.0
5.0,2.4171,0.0,2.4171,475.0
1.0,0.9971,0.0,0.9971,476.0
2.0,0.92279,0.0,0.92279,477.0
3.0,2.66394,0.0,2.66394,478.0
1.0,0.98501,0.0,0.98501,479.0
5.0,1.04961,0.0,1.04961,480.0
4.0,1.07084,0.0,1.07084,481.0
2.0,1.95732,0.0,1.95732,482.0
1.0,0.92933,0.0,0.92933,483.0
4.0,3.98532,0.0,3.98532,484.0
5.0,4.85438,0.0,4.85438,485.0
4.0,3.98595,0.0,3.98595,486.0
4.0,2.22912,0.0,2.22912,487.0
4.0,1.97068,0.0,1.97068,488.0
2.0,0.62945,0.0,0.62945,489.0
3.0,2.97873,0.0,2.97873,490.0
3.0,1.58298,0.0,1.58298,491.0
1.0,0.17672,0.0,0.17672,492.0
3.0,2.85889,0.0,2.85889,493.0
4.0,3.88649,0.0,3.88649,494.0
3.0,1.07038,0.0,1.07038,495.0
3.0,2.93369,0.0,2.93369,496.0
1.0,0.93508,0.0,0.93508,497.0
5.0,3.09567,0.0,3.09567,498.0
5.0,4.94165,0.0,4.94165,499.0
1.0,0.80603,0.0,0.80603,500.0
2.0,1.42734,0.0,1.42734,501.0
2.0,1.67536,0.0,1.67536,502.0
