Aleatório,Estimado,Correto,Diferença,K
3.0,2.28167,2.5,-0.2183299999999999,470.0
2.0,1.7724,2.5,-0.7276,471.0
1.0,1.28909,2.5,-1.21091,472.0
3.0,2.26192,2.5,-0.23808,473.0
1.0,1.2603,2.5,-1.2397,474.0
3.0,2.26175,2.5,-0.2382499999999998,475.0
1.0,1.29454,2.5,-1.20546,476.0
1.0,1.29462,2.5,-1.20538,477.0
2.0,1.78823,2.5,-0.71177,478.0
3.0,2.2991,2.5,-0.2008999999999998,479.0
5.0,3.45424,2.5,0.95424,480.0
5.0,3.45462,2.5,0.9546199999999998,481.0
3.0,2.30308,2.5,-0.1969199999999999,482.0
4.0,2.85998,2.5,0.3599800000000002,483.0
1.0,1.29082,2.5,-1.20918,484.0
3.0,2.33715,2.5,-0.1628500000000001,485.0
1.0,1.29604,2.5,-1.20396,486.0
1.0,1.29412,2.5,-1.20588,487.0
3.0,2.34602,2.5,-0.1539799999999997,488.0
4.0,2.91464,2.5,0.4146399999999999,489.0
1.0,1.30624,2.5,-1.19376,490.0
4.0,2.92531,2.5,0.4253100000000001,491.0
4.0,2.9432,2.5,0.4432,492.0
2.0,1.84069,2.5,-0.6593100000000001,493.0
4.0,2.95262,2.5,0.45262,494.0
4.0,2.96602,2.5,0.4660199999999999,495.0
5.0,3.59832,2.5,1.0983200000000002,496.0
1.0,1.32763,2.5,-1.17237,497.0
1.0,1.31169,2.5,-1.18831,498.0
3.0,2.39259,2.5,-0.1074099999999997,499.0
3.0,2.39177,2.5,-0.1082299999999998,500.0
5.0,3.58523,2.5,1.08523,501.0
5.0,3.59546,2.5,1.09546,502.0
1.0,1.31662,2.5,-1.18338,503.0
3.0,2.37715,2.5,-0.1228500000000001,504.0
1.0,1.28625,2.5,-1.21375,505.0
2.0,1.81075,2.5,-0.6892499999999999,506.0
1.0,1.25588,2.5,-1.24412,507.0
2.0,1.80085,2.5,-0.6991499999999999,508.0
5.0,3.58148,2.5,1.08148,509.0
4.0,2.95697,2.5,0.4569700000000001,510.0
1.0,1.28738,2.5,-1.21262,511.0
1.0,1.28175,2.5,-1.21825,512.0
2.0,1.867,2.5,-0.633,513.0
5.0,3.72262,2.5,1.22262,514.0
1.0,1.27193,2.5,-1.22807,515.0
2.0,1.84682,2.5,-0.6531800000000001,516.0
3.0,2.40552,2.5,-0.0944799999999999,517.0
2.0,1.81934,2.5,-0.68066,518.0
